SSID,Signal(dBm),Timestamp,Location,Scan_ID,Run
NTUST,-83,2025-11-05 09:56:02,LaptopPriority/CurrentPeriodicals,0,1
DIRECT-I8-OPPO Pad 3,-81,2025-11-05 09:56:02,LaptopPriority/CurrentPeriodicals,0,1
ææ©ç¶ºâs iPhone,-74,2025-11-05 09:56:02,LaptopPriority/CurrentPeriodicals,0,1
Hidden_Network,-67,2025-11-05 09:56:02,LaptopPriority/CurrentPeriodicals,0,1
NTUST-UAM,-95,2025-11-05 09:56:09,LaptopPriority/CurrentPeriodicals,1,1
NTUST-UAM,-91,2025-11-05 09:56:09,LaptopPriority/CurrentPeriodicals,1,1
NTUST-UAM,-84,2025-11-05 09:56:09,LaptopPriority/CurrentPeriodicals,1,1
NTUST-UAM,-82,2025-11-05 09:56:09,LaptopPriority/CurrentPeriodicals,1,1
NTUST-UAM,-78,2025-11-05 09:56:09,LaptopPriority/CurrentPeriodicals,1,1
NTUST-UAM,-77,2025-11-05 09:56:09,LaptopPriority/CurrentPeriodicals,1,1
NTUST-UAM,-71,2025-11-05 09:56:09,LaptopPriority/CurrentPeriodicals,1,1
NTUST-UAM,-67,2025-11-05 09:56:09,LaptopPriority/CurrentPeriodicals,1,1
NTUST-UAM,-56,2025-11-05 09:56:09,LaptopPriority/CurrentPeriodicals,1,1
NTUST-UAM,-51,2025-11-05 09:56:09,LaptopPriority/CurrentPeriodicals,1,1
NTUST-UAM,-44,2025-11-05 09:56:09,LaptopPriority/CurrentPeriodicals,1,1
NTUST-PEAP,-91,2025-11-05 09:56:09,LaptopPriority/CurrentPeriodicals,1,1
NTUST-PEAP,-84,2025-11-05 09:56:09,LaptopPriority/CurrentPeriodicals,1,1
NTUST-PEAP,-83,2025-11-05 09:56:09,LaptopPriority/CurrentPeriodicals,1,1
NTUST-PEAP,-75,2025-11-05 09:56:09,LaptopPriority/CurrentPeriodicals,1,1
NTUST-PEAP,-73,2025-11-05 09:56:09,LaptopPriority/CurrentPeriodicals,1,1
NTUST-PEAP,-56,2025-11-05 09:56:09,LaptopPriority/CurrentPeriodicals,1,1
NTUST-PEAP,-51,2025-11-05 09:56:09,LaptopPriority/CurrentPeriodicals,1,1
NTUST-PEAP,-48,2025-11-05 09:56:09,LaptopPriority/CurrentPeriodicals,1,1
NTUST-PEAP,-95,2025-11-05 09:56:09,LaptopPriority/CurrentPeriodicals,1,1
IB812_5G,-97,2025-11-05 09:56:09,LaptopPriority/CurrentPeriodicals,1,1
Hidden_Network,-97,2025-11-05 09:56:09,LaptopPriority/CurrentPeriodicals,1,1
Hidden_Network,-67,2025-11-05 09:56:09,LaptopPriority/CurrentPeriodicals,1,1
eduroam,-96,2025-11-05 09:56:09,LaptopPriority/CurrentPeriodicals,1,1
eduroam,-91,2025-11-05 09:56:09,LaptopPriority/CurrentPeriodicals,1,1
eduroam,-84,2025-11-05 09:56:09,LaptopPriority/CurrentPeriodicals,1,1
eduroam,-84,2025-11-05 09:56:09,LaptopPriority/CurrentPeriodicals,1,1
eduroam,-80,2025-11-05 09:56:09,LaptopPriority/CurrentPeriodicals,1,1
eduroam,-74,2025-11-05 09:56:09,LaptopPriority/CurrentPeriodicals,1,1
eduroam,-56,2025-11-05 09:56:09,LaptopPriority/CurrentPeriodicals,1,1
eduroam,-45,2025-11-05 09:56:09,LaptopPriority/CurrentPeriodicals,1,1
IB-9F,-96,2025-11-05 09:56:09,LaptopPriority/CurrentPeriodicals,1,1
GIDLE401-1_5G,-96,2025-11-05 09:56:09,LaptopPriority/CurrentPeriodicals,1,1
NTUST-UAM,-95,2025-11-05 09:56:09,LaptopPriority/CurrentPeriodicals,1,1
NTUST-UAM,-91,2025-11-05 09:56:09,LaptopPriority/CurrentPeriodicals,1,1
NTUST-UAM,-84,2025-11-05 09:56:09,LaptopPriority/CurrentPeriodicals,1,1
NTUST-UAM,-82,2025-11-05 09:56:09,LaptopPriority/CurrentPeriodicals,1,1
NTUST-UAM,-78,2025-11-05 09:56:09,LaptopPriority/CurrentPeriodicals,1,1
NTUST-UAM,-77,2025-11-05 09:56:09,LaptopPriority/CurrentPeriodicals,1,1
NTUST-UAM,-71,2025-11-05 09:56:09,LaptopPriority/CurrentPeriodicals,1,1
NTUST-UAM,-67,2025-11-05 09:56:09,LaptopPriority/CurrentPeriodicals,1,1
NTUST-UAM,-56,2025-11-05 09:56:09,LaptopPriority/CurrentPeriodicals,1,1
NTUST-UAM,-51,2025-11-05 09:56:09,LaptopPriority/CurrentPeriodicals,1,1
NTUST-UAM,-44,2025-11-05 09:56:09,LaptopPriority/CurrentPeriodicals,1,1
RB501,-95,2025-11-05 09:56:09,LaptopPriority/CurrentPeriodicals,1,1
SparkOffice-WIFI,-94,2025-11-05 09:56:09,LaptopPriority/CurrentPeriodicals,1,1
DIRECT-42-HP M227f LaserJet,-93,2025-11-05 09:56:09,LaptopPriority/CurrentPeriodicals,1,1
å²,-92,2025-11-05 09:56:09,LaptopPriority/CurrentPeriodicals,1,1
810-2_5G,-92,2025-11-05 09:56:09,LaptopPriority/CurrentPeriodicals,1,1
TR828_5G,-91,2025-11-05 09:56:09,LaptopPriority/CurrentPeriodicals,1,1
NTUST-PEAP,-91,2025-11-05 09:56:09,LaptopPriority/CurrentPeriodicals,1,1
NTUST-PEAP,-84,2025-11-05 09:56:09,LaptopPriority/CurrentPeriodicals,1,1
NTUST-PEAP,-83,2025-11-05 09:56:09,LaptopPriority/CurrentPeriodicals,1,1
NTUST-PEAP,-75,2025-11-05 09:56:09,LaptopPriority/CurrentPeriodicals,1,1
NTUST-PEAP,-73,2025-11-05 09:56:09,LaptopPriority/CurrentPeriodicals,1,1
NTUST-PEAP,-56,2025-11-05 09:56:09,LaptopPriority/CurrentPeriodicals,1,1
NTUST-PEAP,-51,2025-11-05 09:56:09,LaptopPriority/CurrentPeriodicals,1,1
NTUST-PEAP,-48,2025-11-05 09:56:09,LaptopPriority/CurrentPeriodicals,1,1
NTUST-PEAP,-95,2025-11-05 09:56:09,LaptopPriority/CurrentPeriodicals,1,1
BBA-1028,-89,2025-11-05 09:56:09,LaptopPriority/CurrentPeriodicals,1,1
MUTEC,-87,2025-11-05 09:56:09,LaptopPriority/CurrentPeriodicals,1,1
Yie & Esther,-85,2025-11-05 09:56:09,LaptopPriority/CurrentPeriodicals,1,1
Yie Office,-85,2025-11-05 09:56:09,LaptopPriority/CurrentPeriodicals,1,1
general_7006,-84,2025-11-05 09:56:09,LaptopPriority/CurrentPeriodicals,1,1
ASUS,-83,2025-11-05 09:56:09,LaptopPriority/CurrentPeriodicals,1,1
CI3D,-83,2025-11-05 09:56:09,LaptopPriority/CurrentPeriodicals,1,1
NTUST,-83,2025-11-05 09:56:09,LaptopPriority/CurrentPeriodicals,1,1
NGLA_24G,-79,2025-11-05 09:56:09,LaptopPriority/CurrentPeriodicals,1,1
DIRECT-I8-OPPO Pad 3,-76,2025-11-05 09:56:09,LaptopPriority/CurrentPeriodicals,1,1
ææ©ç¶ºâs iPhone,-67,2025-11-05 09:56:09,LaptopPriority/CurrentPeriodicals,1,1
NTUST-UAM,-96,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
NTUST-UAM,-95,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
NTUST-UAM,-82,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
NTUST-UAM,-80,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
NTUST-UAM,-79,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
NTUST-UAM,-78,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
NTUST-UAM,-77,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
NTUST-UAM,-77,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
NTUST-UAM,-71,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
NTUST-UAM,-70,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
NTUST-UAM,-62,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
NTUST-UAM,-60,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
NTUST-UAM,-54,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
NTUST-UAM,-53,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
NTUST-PEAP,-98,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
NTUST-PEAP,-95,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
NTUST-PEAP,-89,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
NTUST-PEAP,-88,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
NTUST-PEAP,-83,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
NTUST-PEAP,-81,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
NTUST-PEAP,-80,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
NTUST-PEAP,-75,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
NTUST-PEAP,-73,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
NTUST-PEAP,-62,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
NTUST-PEAP,-60,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
NTUST-PEAP,-53,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
NTUST-PEAP,-52,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
NTUST-PEAP,-95,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
Hidden_Network,-98,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
Hidden_Network,-97,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
Hidden_Network,-96,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
Hidden_Network,-72,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
NTUST-PEAP,-98,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
NTUST-PEAP,-95,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
NTUST-PEAP,-89,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
NTUST-PEAP,-88,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
NTUST-PEAP,-83,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
NTUST-PEAP,-81,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
NTUST-PEAP,-80,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
NTUST-PEAP,-75,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
NTUST-PEAP,-73,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
NTUST-PEAP,-62,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
NTUST-PEAP,-60,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
NTUST-PEAP,-53,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
NTUST-PEAP,-52,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
NTUST-PEAP,-95,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
eduroam,-97,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
eduroam,-96,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
eduroam,-96,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
eduroam,-91,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
eduroam,-88,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
eduroam,-84,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
eduroam,-80,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
eduroam,-79,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
eduroam,-75,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
eduroam,-64,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
eduroam,-62,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
eduroam,-53,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
eduroam,-52,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
MUTEC-5G,-97,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
IB812_5G,-97,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
Yie Office,-96,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
GIDLE401-1_5G,-96,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
NTUST-UAM,-96,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
NTUST-UAM,-95,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
NTUST-UAM,-82,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
NTUST-UAM,-80,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
NTUST-UAM,-79,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
NTUST-UAM,-78,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
NTUST-UAM,-77,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
NTUST-UAM,-77,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
NTUST-UAM,-71,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
NTUST-UAM,-70,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
NTUST-UAM,-62,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
NTUST-UAM,-60,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
NTUST-UAM,-54,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
NTUST-UAM,-53,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
IB-9F,-96,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
PBL713_5G,-95,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
ESD_5G,-95,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
RB501,-95,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
Yie & Esther,-95,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
t4-602-1,-94,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
t4-602-1,-81,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
SparkOffice-WIFI,-94,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
SparkOffice-WIFI,-92,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
å²,-93,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
DIRECT-42-HP M227f LaserJet,-93,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
Sparktech-Guest,-92,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
Everfocus,-92,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
810-2_5G,-92,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
TR828_5G,-92,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
CI3D_5G,-90,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
BBA-1028,-89,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
Nexlit-5GHz,-88,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
MUTEC,-87,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
general_7006,-84,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
NTUST,-83,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
ASUS,-83,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
CI3D,-83,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
NGLA_24G,-79,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
DIRECT-I8-OPPO Pad 3,-73,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
ææ©ç¶ºâs iPhone,-68,2025-11-05 09:56:16,LaptopPriority/CurrentPeriodicals,2,1
NTUST-UAM,-96,2025-11-05 09:56:23,LaptopPriority/CurrentPeriodicals,3,1
NTUST-UAM,-95,2025-11-05 09:56:23,LaptopPriority/CurrentPeriodicals,3,1
NTUST-UAM,-95,2025-11-05 09:56:23,LaptopPriority/CurrentPeriodicals,3,1
NTUST-UAM,-93,2025-11-05 09:56:23,LaptopPriority/CurrentPeriodicals,3,1
NTUST-UAM,-78,2025-11-05 09:56:23,LaptopPriority/CurrentPeriodicals,3,1
NTUST-UAM,-77,2025-11-05 09:56:23,LaptopPriority/CurrentPeriodicals,3,1
NTUST-UAM,-75,2025-11-05 09:56:23,LaptopPriority/CurrentPeriodicals,3,1
NTUST-UAM,-74,2025-11-05 09:56:23,LaptopPriority/CurrentPeriodicals,3,1
NTUST-UAM,-73,2025-11-05 09:56:23,LaptopPriority/CurrentPeriodicals,3,1
NTUST-UAM,-71,2025-11-05 09:56:23,LaptopPriority/CurrentPeriodicals,3,1
NTUST-UAM,-70,2025-11-05 09:56:23,LaptopPriority/CurrentPeriodicals,3,1
NTUST-UAM,-68,2025-11-05 09:56:23,LaptopPriority/CurrentPeriodicals,3,1
NTUST-UAM,-65,2025-11-05 09:56:23,LaptopPriority/CurrentPeriodicals,3,1
NTUST-UAM,-58,2025-11-05 09:56:23,LaptopPriority/CurrentPeriodicals,3,1
NTUST-UAM,-55,2025-11-05 09:56:23,LaptopPriority/CurrentPeriodicals,3,1
NTUST-UAM,-54,2025-11-05 09:56:23,LaptopPriority/CurrentPeriodicals,3,1
NTUST-PEAP,-68,2025-11-05 09:56:23,LaptopPriority/CurrentPeriodicals,3,1
NTUST-PEAP,-98,2025-11-05 09:56:23,LaptopPriority/CurrentPeriodicals,3,1
NTUST-PEAP,-95,2025-11-05 09:56:23,LaptopPriority/CurrentPeriodicals,3,1
NTUST-PEAP,-95,2025-11-05 09:56:23,LaptopPriority/CurrentPeriodicals,3,1
NTUST-PEAP,-89,2025-11-05 09:56:23,LaptopPriority/CurrentPeriodicals,3,1
NTUST-PEAP,-88,2025-11-05 09:56:23,LaptopPriority/CurrentPeriodicals,3,1
NTUST-PEAP,-81,2025-11-05 09:56:23,LaptopPriority/CurrentPeriodicals,3,1
NTUST-PEAP,-75,2025-11-05 09:56:23,LaptopPriority/CurrentPeriodicals,3,1
NTUST-PEAP,-74,2025-11-05 09:56:23,LaptopPriority/CurrentPeriodicals,3,1
NTUST-PEAP,-73,2025-11-05 09:56:23,LaptopPriority/CurrentPeriodicals,3,1
NTUST-PEAP,-73,2025-11-05 09:56:23,LaptopPriority/CurrentPeriodicals,3,1
NTUST-PEAP,-64,2025-11-05 09:56:23,LaptopPriority/CurrentPeriodicals,3,1
NTUST-PEAP,-58,2025-11-05 09:56:23,LaptopPriority/CurrentPeriodicals,3,1
NTUST-PEAP,-55,2025-11-05 09:56:23,LaptopPriority/CurrentPeriodicals,3,1
NTUST-PEAP,-55,2025-11-05 09:56:23,LaptopPriority/CurrentPeriodicals,3,1
NTUST-PEAP,-68,2025-11-05 09:56:23,LaptopPriority/CurrentPeriodicals,3,1
NTUST-PEAP,-98,2025-11-05 09:56:23,LaptopPriority/CurrentPeriodicals,3,1
NTUST-PEAP,-95,2025-11-05 09:56:23,LaptopPriority/CurrentPeriodicals,3,1
NTUST-PEAP,-95,2025-11-05 09:56:23,LaptopPriority/CurrentPeriodicals,3,1
NTUST-PEAP,-89,2025-11-05 09:56:23,LaptopPriority/CurrentPeriodicals,3,1
NTUST-PEAP,-88,2025-11-05 09:56:23,LaptopPriority/CurrentPeriodicals,3,1
NTUST-PEAP,-81,2025-11-05 09:56:23,LaptopPriority/CurrentPeriodicals,3,1
NTUST-PEAP,-75,2025-11-05 09:56:23,LaptopPriority/CurrentPeriodicals,3,1
NTUST-PEAP,-74,2025-11-05 09:56:23,LaptopPriority/CurrentPeriodicals,3,1
NTUST-PEAP,-73,2025-11-05 09:56:23,LaptopPriority/CurrentPeriodicals,3,1
NTUST-PEAP,-73,2025-11-05 09:56:23,LaptopPriority/CurrentPeriodicals,3,1
NTUST-PEAP,-64,2025-11-05 09:56:23,LaptopPriority/CurrentPeriodicals,3,1
NTUST-PEAP,-58,2025-11-05 09:56:23,LaptopPriority/CurrentPeriodicals,3,1
NTUST-PEAP,-55,2025-11-05 09:56:23,LaptopPriority/CurrentPeriodicals,3,1
NTUST-PEAP,-55,2025-11-05 09:56:23,LaptopPriority/CurrentPeriodicals,3,1
Hidden_Network,-98,2025-11-05 09:56:23,LaptopPriority/CurrentPeriodicals,3,1
Hidden_Network,-97,2025-11-05 09:56:23,LaptopPriority/CurrentPeriodicals,3,1
Hidden_Network,-96,2025-11-05 09:56:23,LaptopPriority/CurrentPeriodicals,3,1
Hidden_Network,-72,2025-11-05 09:56:23,LaptopPriority/CurrentPeriodicals,3,1
IB-811_5G,-97,2025-11-05 09:56:23,LaptopPriority/CurrentPeriodicals,3,1
IB812_5G,-97,2025-11-05 09:56:23,LaptopPriority/CurrentPeriodicals,3,1
eduroam,-97,2025-11-05 09:56:23,LaptopPriority/CurrentPeriodicals,3,1
eduroam,-96,2025-11-05 09:56:23,LaptopPriority/CurrentPeriodicals,3,1
eduroam,-96,2025-11-05 09:56:23,LaptopPriority/CurrentPeriodicals,3,1
eduroam,-94,2025-11-05 09:56:23,LaptopPriority/CurrentPeriodicals,3,1
eduroam,-91,2025-11-05 09:56:23,LaptopPriority/CurrentPeriodicals,3,1
eduroam,-91,2025-11-05 09:56:23,LaptopPriority/CurrentPeriodicals,3,1
eduroam,-84,2025-11-05 09:56:23,LaptopPriority/CurrentPeriodicals,3,1
eduroam,-75,2025-11-05 09:56:23,LaptopPriority/CurrentPeriodicals,3,1
eduroam,-74,2025-11-05 09:56:23,LaptopPriority/CurrentPeriodicals,3,1
eduroam,-71,2025-11-05 09:56:23,LaptopPriority/CurrentPeriodicals,3,1
eduroam,-68,2025-11-05 09:56:23,LaptopPriority/CurrentPeriodicals,3,1
eduroam,-62,2025-11-05 09:56:23,LaptopPriority/CurrentPeriodicals,3,1
eduroam,-58,2025-11-05 09:56:23,LaptopPriority/CurrentPeriodicals,3,1
eduroam,-57,2025-11-05 09:56:23,LaptopPriority/CurrentPeriodicals,3,1
eduroam,-55,2025-11-05 09:56:23,LaptopPriority/CurrentPeriodicals,3,1
eduroam,-99,2025-11-05 09:56:23,LaptopPriority/CurrentPeriodicals,3,1
MUTEC-5G,-97,2025-11-05 09:56:23,LaptopPriority/CurrentPeriodicals,3,1
mcnlab,-96,2025-11-05 09:56:23,LaptopPriority/CurrentPeriodicals,3,1
Yie Office,-96,2025-11-05 09:56:23,LaptopPriority/CurrentPeriodicals,3,1
NTUST-UAM,-96,2025-11-05 09:56:23,LaptopPriority/CurrentPeriodicals,3,1
NTUST-UAM,-95,2025-11-05 09:56:23,LaptopPriority/CurrentPeriodicals,3,1
NTUST-UAM,-95,2025-11-05 09:56:23,LaptopPriority/CurrentPeriodicals,3,1
